Observer;Item1;Item2;Item3;Winner;Middle;Loser;Village;Age;Questions
A104;VarB;VarA;VarH;2;1;3;A;27;Question1
A105;VarF;VarD;VarC;2;1;3;A;33;Question1
A106;VarG;VarC;VarA;3;2;1;A;40;Question1
A107;VarB;VarH;VarE;1;3;2;A;32;Question1
A108;VarG;VarE;VarA;3;2;1;A;31;Question1
A109;VarB;VarG;VarD;1;3;2;A;23;Question1
A110;VarE;VarB;VarA;2;3;1;A;33;Question1
A111;VarH;VarC;VarD;3;2;1;A;32;Question1
A112;VarA;VarH;VarF;1;3;2;A;35;Question1
A113;VarB;VarG;VarF;1;3;2;A;29;Question1
A114;VarG;VarB;VarH;2;3;1;A;30;Question1
A115;VarH;VarE;VarC;2;3;1;A;30;Question1
A116;VarD;VarG;VarB;3;1;2;A;33;Question1
A117;VarD;VarG;VarC;1;3;2;A;39;Question1
A118;VarE;VarB;VarC;2;3;1;A;34;Question1
A119;VarE;VarA;VarD;2;1;3;A;49;Question1
A120;VarE;VarA;VarG;2;1;3;A;35;Question1
A121;VarC;VarG;VarE;3;1;2;A;39;Question1
A122;VarA;VarG;VarF;1;3;2;A;24;Question1
A123;VarF;VarC;VarA;3;1;2;A;42;Question1
A124;VarC;VarG;VarF;3;1;2;A;30;Question1
A125;VarG;VarF;VarD;2;3;1;A;38;Question1
A126;VarG;VarA;VarF;2;3;1;A;34;Question1
A127;VarB;VarD;VarH;1;2;3;A;34;Question1
A128;VarE;VarC;VarA;3;1;2;A;41;Question1
A129;VarD;VarC;VarA;3;2;1;A;30;Question1
A130;VarH;VarB;VarD;2;3;1;A;33;Question1
A131;VarC;VarF;VarE;3;2;1;A;26;Question1
A132;VarC;VarD;VarG;2;1;3;A;50;Question1
A133;VarA;VarB;VarE;2;1;3;A;27;Question1
A134;VarC;VarA;VarE;2;3;1;A;34;Question1
A135;VarH;VarC;VarD;3;2;1;A;40;Question1
A136;VarC;VarE;VarB;3;1;2;A;31;Question1
A137;VarA;VarD;VarB;3;1;2;A;24;Question1
A138;VarF;VarB;VarA;3;2;1;A;43;Question1
A139;VarB;VarH;VarF;1;3;2;A;31;Question1
A140;VarH;VarG;VarB;3;2;1;A;44;Question1
A141;VarB;VarC;VarA;1;3;2;A;35;Question1
A142;VarH;VarC;VarD;3;2;1;A;35;Question1
A143;VarH;VarD;VarF;3;2;1;A;43;Question1
A144;VarB;VarF;VarA;3;2;1;A;50;Question1
A145;VarD;VarF;VarH;2;1;3;A;35;Question1
A146;VarF;VarB;VarG;2;1;3;A;36;Question1
A147;VarE;VarD;VarF;2;1;3;A;37;Question1
A148;VarH;VarD;VarA;3;2;1;A;33;Question1
A149;VarD;VarA;VarG;2;1;3;A;35;Question1
A150;VarG;VarE;VarA;3;2;1;A;26;Question1
A151;VarH;VarG;VarE;3;1;2;B;31;Question1
A152;VarF;VarA;VarG;1;2;3;B;41;Question1
A153;VarF;VarG;VarC;1;3;2;B;33;Question1
A154;VarB;VarA;VarC;1;2;3;B;38;Question1
A155;VarD;VarC;VarF;3;1;2;B;46;Question1
A156;VarB;VarC;VarD;1;3;2;B;28;Question1
A157;VarB;VarA;VarH;2;1;3;B;32;Question1
A158;VarD;VarA;VarC;1;2;3;B;32;Question1
A159;VarG;VarB;VarF;3;2;1;B;38;Question1
A160;VarB;VarD;VarF;3;2;1;B;36;Question1
A161;VarB;VarD;VarC;1;2;3;B;36;Question1
A162;VarB;VarE;VarA;2;1;3;B;40;Question1
A163;VarD;VarC;VarH;1;3;2;B;33;Question1
A164;VarF;VarC;VarH;1;3;2;B;37;Question1
A165;VarC;VarG;VarA;3;1;2;B;36;Question1
A166;VarD;VarA;VarG;2;1;3;B;40;Question1
A167;VarA;VarG;VarH;1;2;3;B;40;Question1
A168;VarB;VarF;VarE;2;1;3;B;33;Question1
A169;VarB;VarG;VarA;1;3;2;B;35;Question1
A170;VarB;VarA;VarC;2;1;3;B;33;Question1
A171;VarF;VarB;VarH;2;1;3;B;30;Question1
A172;VarH;VarC;VarE;3;1;2;B;45;Question1
A173;VarB;VarH;VarC;1;2;3;B;29;Question1
A174;VarD;VarB;VarG;1;2;3;B;30;Question1
A175;VarA;VarE;VarD;3;1;2;B;37;Question1
A176;VarG;VarE;VarH;2;3;1;B;45;Question1
A177;VarH;VarC;VarA;3;1;2;B;38;Question1
A178;VarF;VarE;VarG;1;2;3;B;25;Question1
A179;VarC;VarH;VarE;3;2;1;B;38;Question1
A180;VarF;VarH;VarG;1;2;3;B;34;Question1
A181;VarC;VarG;VarD;3;2;1;B;37;Question1
A182;VarC;VarD;VarH;2;1;3;B;32;Question1
A183;VarH;VarG;VarA;3;1;2;B;34;Question1
A184;VarD;VarC;VarE;3;1;2;B;33;Question1
A185;VarH;VarA;VarG;2;1;3;B;40;Question1
A186;VarH;VarA;VarC;2;1;3;B;36;Question1
A187;VarE;VarC;VarF;3;1;2;B;37;Question1
A188;VarE;VarF;VarA;1;2;3;B;42;Question1
A189;VarE;VarH;VarB;3;1;2;B;33;Question1
A190;VarH;VarB;VarE;3;2;1;B;44;Question1
A191;VarF;VarA;VarC;1;2;3;B;39;Question1
A192;VarD;VarA;VarB;1;3;2;B;39;Question1
A193;VarF;VarC;VarG;1;2;3;B;22;Question1
A194;VarD;VarH;VarC;1;2;3;B;35;Question1
A195;VarE;VarB;VarG;2;1;3;B;29;Question1
A196;VarH;VarC;VarF;3;1;2;B;38;Question1
A197;VarE;VarF;VarD;3;2;1;B;35;Question1
A198;VarG;VarB;VarC;2;3;1;B;32;Question1
A199;VarG;VarD;VarA;3;2;1;B;40;Question1
A200;VarF;VarB;VarA;1;2;3;B;33;Question1
A201;VarH;VarB;VarF;3;2;1;B;34;Question1
A202;VarC;VarE;VarB;2;3;1;B;41;Question1
A203;VarC;VarE;VarD;3;2;1;B;37;Question1
A204;VarH;VarF;VarG;2;1;3;B;34;Question1
A205;VarG;VarC;VarE;3;1;2;B;41;Question1
A206;VarB;VarD;VarH;1;2;3;B;32;Question1
A207;VarA;VarB;VarG;2;1;3;B;34;Question1
A208;VarD;VarG;VarF;3;1;2;B;43;Question1
A209;VarA;VarF;VarE;1;3;2;B;28;Question1
A210;VarB;VarG;VarA;3;1;2;B;40;Question1
A211;VarC;VarG;VarB;3;1;2;B;23;Question1
A212;VarD;VarF;VarC;1;2;3;B;43;Question1
A213;VarE;VarF;VarH;2;1;3;B;31;Question1
A214;VarF;VarE;VarA;1;2;3;B;41;Question1
A215;VarG;VarE;VarC;2;1;3;B;44;Question1
A216;VarA;VarE;VarB;1;2;3;B;41;Question1
A217;VarF;VarG;VarA;1;3;2;B;41;Question1
A218;VarA;VarC;VarH;1;3;2;B;31;Question1
A219;VarB;VarG;VarD;3;1;2;B;44;Question1
A220;VarE;VarD;VarB;3;2;1;B;32;Question1
A221;VarA;VarB;VarC;1;2;3;B;42;Question1
A222;VarF;VarG;VarC;1;2;3;B;56;Question1
A223;VarG;VarF;VarB;3;2;1;B;33;Question1
A224;VarE;VarB;VarH;2;1;3;B;34;Question1
A225;VarH;VarD;VarE;2;3;1;B;27;Question1
A226;VarD;VarB;VarC;1;2;3;B;42;Question1
A227;VarA;VarD;VarC;2;1;3;B;33;Question1
A228;VarH;VarF;VarD;2;3;1;B;27;Question1
A229;VarF;VarG;VarH;1;3;2;B;22;Question1
A230;VarF;VarC;VarB;1;3;2;B;42;Question1
A231;VarC;VarG;VarD;3;2;1;B;38;Question1
A232;VarF;VarB;VarC;2;1;3;B;32;Question1
A233;VarD;VarA;VarH;2;1;3;B;33;Question1
A234;VarG;VarH;VarC;2;3;1;B;31;Question1
A235;VarG;VarC;VarA;3;1;2;B;40;Question1
A236;VarB;VarF;VarH;2;1;3;B;43;Question1
A237;VarA;VarD;VarC;2;1;3;B;49;Question1
A238;VarH;VarC;VarG;1;3;2;B;37;Question1
A239;VarF;VarC;VarH;1;3;2;B;38;Question1
A240;VarF;VarD;VarG;1;2;3;B;37;Question1
A241;VarE;VarH;VarG;1;2;3;B;35;Question1
A242;VarG;VarF;VarD;2;3;1;B;27;Question1
A243;VarF;VarH;VarD;1;3;2;B;34;Question1
A244;VarE;VarA;VarD;2;3;1;B;32;Question1
A245;VarB;VarA;VarF;3;2;1;B;32;Question1
A246;VarF;VarB;VarD;1;2;3;B;37;Question1
A247;VarG;VarC;VarB;3;1;2;B;34;Question1
A248;VarB;VarH;VarA;1;3;2;B;40;Question1
A249;VarD;VarF;VarE;1;2;3;B;37;Question1
A250;VarG;VarH;VarE;3;2;1;B;30;Question1
A251;VarD;VarB;VarE;2;3;1;B;31;Question1
A252;VarF;VarA;VarB;3;1;2;B;36;Question1
A253;VarF;VarH;VarE;1;2;3;B;29;Question1
A254;VarD;VarE;VarF;3;1;2;B;31;Question1
A255;VarA;VarB;VarE;2;3;1;B;36;Question1
A256;VarC;VarD;VarE;3;2;1;B;33;Question1
A257;VarF;VarH;VarB;1;3;2;B;32;Question1
A258;VarH;VarD;VarA;2;3;1;B;42;Question1
A259;VarB;VarE;VarG;2;1;3;B;48;Question1
A260;VarB;VarE;VarD;1;2;3;B;23;Question1
A261;VarD;VarB;VarE;1;3;2;B;42;Question1
A262;VarG;VarC;VarD;3;2;1;B;29;Question1
A263;VarA;VarF;VarD;2;1;3;B;22;Question1
A264;VarB;VarA;VarG;2;1;3;B;35;Question1
A265;VarA;VarE;VarH;1;2;3;B;43;Question1
A266;VarD;VarF;VarA;2;3;1;B;31;Question1
A267;VarD;VarC;VarE;1;3;2;B;40;Question1
A268;VarH;VarA;VarE;3;1;2;B;45;Question1
A269;VarD;VarB;VarF;3;2;1;B;44;Question1
A270;VarF;VarG;VarC;1;3;2;B;23;Question1
A271;VarG;VarF;VarE;2;3;1;B;25;Question1
A272;VarA;VarD;VarG;1;2;3;B;38;Question1
A273;VarG;VarH;VarA;3;2;1;B;31;Question1
A274;VarB;VarA;VarF;3;2;1;B;35;Question1
A275;VarD;VarF;VarB;2;3;1;B;35;Question1
A276;VarD;VarH;VarF;1;3;2;B;33;Question1
A277;VarE;VarA;VarG;1;2;3;B;41;Question1
A278;VarA;VarE;VarB;1;3;2;B;28;Question1
A279;VarD;VarH;VarE;3;1;2;B;24;Question1
A280;VarH;VarG;VarB;3;1;2;B;31;Question1
A281;VarG;VarC;VarB;3;1;2;B;36;Question1
A282;VarG;VarE;VarA;3;2;1;B;42;Question1
A283;VarC;VarH;VarB;3;2;1;B;29;Question1
A284;VarF;VarH;VarD;1;3;2;B;41;Question1
A285;VarG;VarC;VarH;3;2;1;B;26;Question1
A286;VarF;VarE;VarB;3;1;2;B;34;Question1
A287;VarE;VarH;VarA;3;1;2;B;32;Question1
A288;VarH;VarE;VarF;3;1;2;B;38;Question1
A289;VarF;VarE;VarD;3;1;2;B;27;Question1
A290;VarG;VarC;VarE;3;1;2;B;39;Question1
A291;VarB;VarE;VarF;3;1;2;B;36;Question1
A292;VarG;VarH;VarB;3;2;1;B;41;Question1
A293;VarA;VarE;VarC;1;2;3;B;27;Question1
A294;VarA;VarF;VarH;1;2;3;B;27;Question1
A295;VarA;VarF;VarC;1;2;3;B;33;Question1
A296;VarD;VarA;VarH;1;2;3;B;33;Question1
A297;VarB;VarE;VarF;3;1;2;B;37;Question1
A298;VarB;VarA;VarH;2;1;3;B;43;Question1
A299;VarB;VarA;VarG;1;2;3;B;39;Question1
A300;VarE;VarF;VarC;2;1;3;B;44;Question1
A1;VarA;VarH;VarB;3;1;2;A;32;Question2
A2;VarC;VarB;VarE;2;3;1;A;38;Question2
A3;VarH;VarA;VarG;2;1;3;A;39;Question2
A4;VarA;VarC;VarH;1;2;3;A;29;Question2
A5;VarG;VarB;VarE;2;3;1;A;38;Question2
A6;VarC;VarF;VarB;3;2;1;A;34;Question2
A7;VarG;VarC;VarH;2;1;3;A;35;Question2
A8;VarG;VarH;VarD;3;2;1;A;36;Question2
A9;VarE;VarG;VarD;1;3;2;A;39;Question2
A10;VarD;VarE;VarG;2;1;3;A;37;Question2
A11;VarE;VarC;VarH;1;2;3;A;36;Question2
A12;VarC;VarF;VarB;3;2;1;A;38;Question2
A13;VarE;VarD;VarG;2;1;3;A;33;Question2
A14;VarC;VarH;VarF;3;1;2;A;40;Question2
A15;VarD;VarA;VarH;2;1;3;A;36;Question2
A16;VarF;VarG;VarE;3;1;2;A;39;Question2
A17;VarF;VarG;VarB;3;1;2;A;30;Question2
A18;VarG;VarF;VarE;2;3;1;A;33;Question2
A19;VarE;VarB;VarF;2;3;1;A;36;Question2
A20;VarE;VarB;VarG;2;1;3;A;33;Question2
A21;VarG;VarA;VarC;2;3;1;A;36;Question2
A22;VarH;VarC;VarE;2;3;1;A;20;Question2
A23;VarA;VarG;VarC;1;3;2;A;27;Question2
A24;VarA;VarD;VarB;3;1;2;A;32;Question2
A25;VarA;VarD;VarF;1;3;2;A;39;Question2
A26;VarA;VarB;VarD;2;1;3;A;31;Question2
A27;VarE;VarA;VarH;2;1;3;A;39;Question2
A28;VarH;VarC;VarB;3;2;1;A;24;Question2
A29;VarB;VarH;VarA;3;1;2;A;38;Question2
A30;VarD;VarA;VarF;2;3;1;A;45;Question2
A31;VarD;VarH;VarG;1;2;3;A;39;Question2
A32;VarG;VarC;VarE;2;3;1;A;39;Question2
A33;VarD;VarC;VarF;3;1;2;A;34;Question2
A34;VarB;VarH;VarE;1;3;2;A;31;Question2
A35;VarE;VarA;VarH;2;1;3;A;33;Question2
A36;VarA;VarD;VarE;1;3;2;A;25;Question2
A37;VarH;VarF;VarA;3;2;1;A;33;Question2
A38;VarC;VarE;VarA;3;2;1;A;42;Question2
A39;VarC;VarE;VarF;3;1;2;A;35;Question2
A40;VarC;VarE;VarF;3;2;1;A;33;Question2
A41;VarB;VarC;VarH;1;3;2;A;40;Question2
A42;VarD;VarB;VarG;2;1;3;A;38;Question2
A43;VarD;VarF;VarC;1;2;3;A;39;Question2
A44;VarC;VarD;VarB;3;2;1;A;40;Question2
A45;VarE;VarF;VarA;2;1;3;A;46;Question2
A46;VarE;VarB;VarH;2;1;3;A;41;Question2
A47;VarB;VarA;VarC;1;2;3;A;32;Question2
A48;VarF;VarD;VarB;3;1;2;A;33;Question2
A49;VarE;VarH;VarF;3;1;2;A;32;Question2
A50;VarG;VarF;VarH;2;3;1;A;28;Question2
A51;VarB;VarC;VarE;1;2;3;A;33;Question2
A52;VarD;VarE;VarC;2;1;3;A;37;Question2
A53;VarG;VarB;VarH;2;3;1;A;35;Question2
A54;VarG;VarE;VarB;3;2;1;A;25;Question2
A55;VarC;VarE;VarA;3;1;2;A;32;Question2
A56;VarD;VarG;VarF;3;1;2;A;31;Question2
A57;VarH;VarA;VarC;2;3;1;A;35;Question2
A58;VarA;VarG;VarD;1;3;2;A;38;Question2
A59;VarD;VarH;VarG;1;2;3;A;32;Question2
A60;VarG;VarF;VarE;2;3;1;A;43;Question2
A61;VarB;VarD;VarA;3;1;2;A;35;Question2
A62;VarG;VarE;VarF;2;3;1;A;35;Question2
A63;VarA;VarH;VarF;1;3;2;A;36;Question2
A64;VarE;VarG;VarD;1;3;2;A;35;Question2
A65;VarD;VarH;VarE;3;1;2;A;46;Question2
A66;VarE;VarH;VarD;1;3;2;A;31;Question2
A67;VarD;VarE;VarB;3;2;1;A;35;Question2
A68;VarE;VarB;VarC;2;3;1;A;32;Question2
A69;VarD;VarH;VarG;1;2;3;A;41;Question2
A70;VarH;VarG;VarB;3;1;2;A;37;Question2
A71;VarH;VarG;VarC;1;3;2;A;50;Question2
A72;VarB;VarH;VarC;1;3;2;A;31;Question2
A73;VarE;VarH;VarC;1;3;2;A;37;Question2
A74;VarE;VarH;VarD;3;1;2;A;40;Question2
A75;VarC;VarB;VarD;2;1;3;A;35;Question2
A76;VarD;VarB;VarH;2;1;3;A;33;Question2
A77;VarB;VarH;VarC;1;3;2;A;27;Question2
A78;VarB;VarG;VarC;1;3;2;A;42;Question2
A79;VarH;VarF;VarC;2;3;1;A;33;Question2
A80;VarG;VarD;VarE;3;2;1;A;31;Question2
A81;VarD;VarH;VarA;3;1;2;A;47;Question2
A82;VarD;VarA;VarF;2;1;3;A;37;Question2
A83;VarH;VarG;VarD;3;1;2;A;32;Question2
A84;VarD;VarA;VarE;2;1;3;A;23;Question2
A85;VarD;VarE;VarA;3;2;1;A;37;Question2
A86;VarH;VarF;VarG;2;3;1;A;36;Question2
A87;VarF;VarC;VarB;3;1;2;A;41;Question2
A88;VarE;VarF;VarD;2;1;3;A;36;Question2
A89;VarG;VarH;VarA;3;2;1;A;35;Question2
A90;VarA;VarC;VarG;1;2;3;A;40;Question2
A91;VarE;VarA;VarF;2;3;1;A;31;Question2
A92;VarF;VarH;VarE;1;3;2;A;28;Question2
A93;VarD;VarC;VarG;2;1;3;A;32;Question2
A94;VarB;VarH;VarF;1;3;2;A;39;Question2
A95;VarH;VarF;VarA;3;2;1;A;32;Question2
A96;VarD;VarB;VarH;2;3;1;A;24;Question2
A97;VarC;VarF;VarA;3;1;2;A;19;Question2
A98;VarD;VarE;VarG;2;1;3;A;36;Question2
A99;VarE;VarC;VarG;1;2;3;A;44;Question2
A100;VarA;VarC;VarD;1;3;2;A;29;Question2
A101;VarH;VarG;VarE;3;1;2;A;37;Question2
A102;VarF;VarA;VarG;2;1;3;A;34;Question2
A103;VarF;VarC;VarA;3;1;2;A;34;Question2
A104;VarB;VarA;VarH;2;1;3;A;27;Question2
A105;VarF;VarD;VarC;2;1;3;A;33;Question2
A106;VarG;VarC;VarA;3;2;1;A;40;Question2
A107;VarB;VarH;VarE;1;3;2;A;32;Question2
A108;VarG;VarE;VarA;3;2;1;A;31;Question2
A109;VarB;VarG;VarD;1;3;2;A;23;Question2
A110;VarE;VarB;VarA;2;3;1;A;33;Question2
A111;VarH;VarC;VarD;3;2;1;A;32;Question2
A112;VarA;VarH;VarF;1;3;2;A;35;Question2
A113;VarB;VarG;VarF;1;3;2;A;29;Question2
A114;VarG;VarB;VarH;2;3;1;A;30;Question2
A115;VarH;VarE;VarC;2;3;1;A;30;Question2
A116;VarD;VarG;VarB;3;1;2;A;33;Question2
A117;VarD;VarG;VarC;1;3;2;A;39;Question2
A118;VarE;VarB;VarC;2;3;1;A;34;Question2
A119;VarE;VarA;VarD;2;1;3;A;49;Question2
A120;VarE;VarA;VarG;2;1;3;A;35;Question2
A121;VarC;VarG;VarE;3;1;2;A;39;Question2
A122;VarA;VarG;VarF;1;3;2;A;24;Question2
A123;VarF;VarC;VarA;3;1;2;A;42;Question2
A124;VarC;VarG;VarF;3;1;2;A;30;Question2
A125;VarG;VarF;VarD;2;3;1;A;38;Question2
A126;VarG;VarA;VarF;2;3;1;A;34;Question2
A127;VarB;VarD;VarH;1;2;3;A;34;Question2
A128;VarE;VarC;VarA;3;1;2;A;41;Question2
A129;VarD;VarC;VarA;3;2;1;A;30;Question2
A130;VarH;VarB;VarD;2;3;1;A;33;Question2
A131;VarC;VarF;VarE;3;2;1;A;26;Question2
A132;VarC;VarD;VarG;2;1;3;A;50;Question2
A133;VarA;VarB;VarE;2;1;3;A;27;Question2
A134;VarC;VarA;VarE;2;3;1;A;34;Question2
A135;VarH;VarC;VarD;3;2;1;A;40;Question2
A136;VarC;VarE;VarB;3;1;2;A;31;Question2
A137;VarA;VarD;VarB;3;1;2;A;24;Question2
A138;VarF;VarB;VarA;3;2;1;A;43;Question2
A139;VarB;VarH;VarF;1;3;2;A;31;Question2
A140;VarH;VarG;VarB;3;2;1;A;44;Question2
A141;VarB;VarC;VarA;1;3;2;A;35;Question2
A142;VarH;VarC;VarD;3;2;1;A;35;Question2
A143;VarH;VarD;VarF;3;2;1;A;43;Question2
A144;VarB;VarF;VarA;3;2;1;A;50;Question2
A145;VarD;VarF;VarH;2;1;3;A;35;Question2
A146;VarF;VarB;VarG;2;1;3;A;36;Question2
A147;VarE;VarD;VarF;2;1;3;A;37;Question2
A148;VarH;VarD;VarA;3;2;1;A;33;Question2
A149;VarD;VarA;VarG;2;1;3;A;35;Question2
A150;VarG;VarE;VarA;3;2;1;A;26;Question2
A151;VarH;VarG;VarE;3;1;2;B;31;Question2
A152;VarF;VarA;VarG;1;2;3;B;41;Question2
A153;VarF;VarG;VarC;1;3;2;B;33;Question2
A154;VarB;VarA;VarC;1;2;3;B;38;Question2
A155;VarD;VarC;VarF;3;1;2;B;46;Question2
A156;VarB;VarC;VarD;1;3;2;B;28;Question2
A157;VarB;VarA;VarH;2;1;3;B;32;Question2
A158;VarD;VarA;VarC;1;2;3;B;32;Question2
A159;VarG;VarB;VarF;3;2;1;B;38;Question2
A160;VarB;VarD;VarF;3;2;1;B;36;Question2
A161;VarB;VarD;VarC;1;2;3;B;36;Question2
A162;VarB;VarE;VarA;2;1;3;B;40;Question2
A163;VarD;VarC;VarH;1;3;2;B;33;Question2
A164;VarF;VarC;VarH;1;3;2;B;37;Question2
A165;VarC;VarG;VarA;3;1;2;B;36;Question2
A166;VarD;VarA;VarG;2;1;3;B;40;Question2
A167;VarA;VarG;VarH;1;2;3;B;40;Question2
A168;VarB;VarF;VarE;2;1;3;B;33;Question2
A169;VarB;VarG;VarA;1;3;2;B;35;Question2
A170;VarB;VarA;VarC;2;1;3;B;33;Question2
A171;VarF;VarB;VarH;2;1;3;B;30;Question2
A172;VarH;VarC;VarE;3;1;2;B;45;Question2
A173;VarB;VarH;VarC;1;2;3;B;29;Question2
A174;VarD;VarB;VarG;1;2;3;B;30;Question2
A175;VarA;VarE;VarD;3;1;2;B;37;Question2
A176;VarG;VarE;VarH;2;3;1;B;45;Question2
A177;VarH;VarC;VarA;3;1;2;B;38;Question2
A178;VarF;VarE;VarG;1;2;3;B;25;Question2
A179;VarC;VarH;VarE;3;2;1;B;38;Question2
A180;VarF;VarH;VarG;1;2;3;B;34;Question2
